toi,tid,tfopwg_disp,pl_orbper,pl_trandep,pl_trandurh,pl_tranmid,pl_rade,pl_insol,pl_eqt,st_tmag,st_teff,st_rad,st_logg,st_dist,ra,dec
4236.01,36227841,PC,0.4021401,3337.1746961,1.1432107,2459988.448188,22.9091656,17100.1,3185.0,12.7411,6115.0,2.44753,3.72,1171.09,149.853813,-45.449353
4237.01,30825828,PC,3.0482015,7620.0,2.433,2459275.547041,,464.675,1293.0,13.1731,5774.7,,,616.409,134.756209,-42.186803
4238.01,24615998,PC,1.2732245,23100.0,1.634,2459277.637194,13.8628,1086.11,1599.0,13.3502,4973.0,0.85,4.49,395.573,141.395946,-33.229454
4239.01,22121296,PC,2.8123314,7201.8344297,4.7153653,2459989.224549,16.8822046,3098.3194662,1902.8357335,12.7797,6614.0,1.84646,4.05,1126.25,148.56571,-25.093582
424.01,117979694,FP,1.9784257,720.0,2.106,2459199.447226,2.02143,600.02,1378.0,10.5094,5059.0,0.75,4.61,103.69,71.921274,-17.745004
4240.01,19547831,PC,10.1238604,7090.0,2.239,2459996.457379,15.7944,79.2946,831.0,12.6943,6531.0,1.81,4.05,949.356,139.661657,-32.748719
4241.01,4102368,PC,3.1118943,16660.0,2.761,2459990.965135,14.3339,406.945,1251.0,13.6438,5412.6,1.08,,598.001,140.328336,-39.325017
4242.01,445582110,PC,3.0579913,7764.9825702,3.125607,2459963.111842,14.2454281,1601.6545359,1613.4739633,12.4688,5967.0,1.59436,4.07,656.6,113.17513,-51.998148
4243.01,400683848,PC,1.0886286,412.1764427,2.4298631,2459988.504447,8.7147619,47343.510594,3762.1392317,10.7492,6127.0,4.2160501,3.25,650.191,134.371324,-52.039581
4461.01,149282072,FP,3.7006742,840.0,3.115,2459761.942759,2.61277,1434.65,1714.0,10.4787,5025.0,0.79,4.56,106.424,279.146891,16.45244
4462.01,76420654,CP,4.9133022,2040.0,5.159,2459789.419251,9.33912,999.403,1566.0,10.445,5918.0,2.06,3.84,368.922,274.669941,36.254856
4463.01,8599009,CP,2.88069,10380.0,1.784,2459766.955834,22.4297,678.487,1421.0,10.4673,5541.0,1.09,4.36,173.117,279.358129,18.729952
4464.01,441589581,PC,8.0379975,320.0,3.287,2459602.566546,7.65886,83.2088,841.0,9.12551,5022.0,5.14,,360.444,113.133261,75.789688
4465.01,157236902,CP,,13520.0,12.002,2459395.124979,11.62,130.528,941.0,9.85277,5557.0,0.99,4.44,121.139,276.134031,15.841886
4466.01,268604331,KP,5.0141991,6026.126007,4.5606871,2459799.901292,13.4911728,1233.0979889,1511.3642562,13.3926,6669.0,1.69675,4.12805,1249.41,299.097517,43.497585
4467.01,48506505,KP,7.7942155,2950.7357104,0.9710311,2459420.812052,4.9169842,112.1124314,829.914194,11.8933,5461.54,0.897403,4.50982,268.041,285.268528,48.559884
4468.01,441763252,PC,2.7708596,22640.0,2.17,2459848.554322,12.2577,208.594,1058.0,13.2847,4975.0,0.79,4.55845,375.517,260.575023,72.645373
4468.02,441763252,PC,7.014001,1646.6732684,2.9681334,2459424.229778,3.6528621,75.6935339,752.2846294,13.2847,4975.0,0.789304,4.55845,375.517,260.575023,72.645373
4469.01,75262942,KP,2.6634154,37522.94895,1.8429688,2459421.462837,13.6857367,113.6142497,832.6796495,14.1959,4051.0,0.701369,4.54826,305.3,299.050641,17.569963
447.01,14091633,APC,5.5292743,17914.4576673,2.542935,2459176.31925,23.5458512,549.2969498,1234.7287098,8.8695,6350.0,1.26396,4.34,126.177,77.260156,-36.464478
4470.01,256364928,KP,2.2185748,25854.2144559,1.8233621,2459770.410421,13.3010355,348.1506195,1101.6954166,6.8481,5023.0,0.776484,4.58,19.7638,300.182122,22.709776
4471.01,27318774,KP,3.2432488,17481.8216448,3.0748441,2459422.907793,14.5800064,631.4204214,1278.4960939,14.4394,5778.0,1.09304,4.37783,1140.95,294.996342,50.470046
4472.01,63211674,KP,8.6004516,3575.6614227,8.950521,2459422.501343,14.548121,862.8947232,1382.3219455,13.1981,6011.95,2.3108399,3.75585,1418.77,292.287301,43.197254
4473.01,122441491,KP,3.7970076,16421.7314916,2.5256778,2459420.412953,11.7557579,218.0029128,980.0208686,14.148,5211.36,0.832631,4.54655,646.647,290.357978,40.567697
4474.01,264508014,KP,3.3119026,7620.7493837,1.181072,2459422.509996,10.9625327,487.2033805,1198.2496832,13.692,5355.0,1.09206,4.33005,698.646,298.62498,48.57745
4475.01,159098316,KP,3.578757,11391.7385882,3.1806502,2459422.607769,12.1416042,445.8323379,1171.9596007,13.4231,5482.59,1.06062,4.36922,639.411,289.607943,44.345435
4691.01,200321577,PC,8.5725884,4880.0,4.495,2459185.213746,10.4135,222.607,1076.0,13.364,5807.0,1.5,4.11,994.05,76.320243,-44.654977
4692.01,153723304,PC,4.0519584,5310.0,0.666,2459198.541053,10.7206,24.4556,619.0,13.2815,5147.0,1.12,4.28,574.438,66.070044,-47.111686
4693.01,117843365,APC,1.9113216,7400.0,1.167,2459198.727602,10.1581,223.347,1076.0,11.8326,4578.0,1.05,4.25,213.014,70.222013,-16.590025
4694.01,50745119,PC,5.629318,8030.0,1.847,2459193.698371,14.4974,86.4308,849.0,13.5249,5885.0,1.53,4.1,759.794,83.000492,-2.417632
4695.01,139550876,PC,35.7861915,20160.0,2.924,2459155.04089,13.2073,8.69035,478.0,12.4332,5755.0,0.85,4.59,358.057,64.197037,-21.610135
4696.01,243011228,PC,4.1249095,5480.0,3.025,2459521.210956,10.7709,453.643,1285.0,13.3233,6007.5,1.44,4.16,759.867,60.585987,12.414279
4697.01,250189842,PC,5.0274739,4070.0,6.229,2459195.473718,13.8852,861.273,1509.0,13.5473,5178.0,2.12,,1206.44,64.84729,-4.547885
4698.01,411781649,PC,4.2333233,10850.0,2.325,2459191.579713,12.5093,217.929,1070.0,13.5306,5696.0,1.14,4.33,624.495,78.673355,14.447352
4699.01,34395020,PC,10.1766089,7980.0,4.474,2459186.707588,11.0026,154.351,981.0,13.2669,5452.0,1.19,4.26,621.613,82.30396,-10.328696
470.01,37770169,CP,12.1914558,2625.0570737,3.3188127,2458474.494915,4.6131319,44.7551381,659.6756823,10.6995,5418.0,0.840971,4.57259,130.46,94.009904,-25.031411
4700.01,468911753,APC,2.2964514,3430.0,1.734,2459197.315409,,150.096,975.0,13.8159,4391.0,,,,62.720477,8.424155
4701.01,9344899,PC,8.5821795,6790.0,3.835,2459197.981561,9.30439,149.861,974.0,12.735,5818.0,1.1,4.38,532.228,72.793934,-8.44732
