tic_id,label,catalog_period,period_days,depth,snr,sec_ratio,duration_hours,bls_power,odd_even_diff,transit_shape,dur_period_ratio,depth_consistency,ingress_egress_asymmetry,odd_even_ratio,source
KIC5217733,false_positive,161.2529031,0.8258122785920887,0.0002641278578449,11.072872745230598,1.0256473328962157,2.88,0.0002029800484284,7.699313507081307e-06,3.010349404785949,0.1453114746665981,2.1881329400344645,0.0154998275348619,0.0291488451140617,Kepler-LC(3q)
KIC9851142,false_positive,8.480304281,4.241549696882101,5.471075830387751e-05,3.0511086144955955,0.1622527538962055,2.4000000000000004,5.305771268823899e-06,0.000340182942217,3.921408838318303,0.0235762886554196,1.2733042201690667,0.2313625866378046,6.216707384205666,Kepler-LC(3q)
KIC3644542,false_positive,119.67980316,8.273238441907683,-2.084049614436978e-06,-0.1551657357168744,0.0,0.48,7.466055151700507e-09,5.733432379084746e-06,1.0,0.0024174330451653,1.220186975245068,-0.0,-2.764366068765016,Kepler-LC(3q)
KIC8560861,false_positive,31.973311701,13.268485443231096,4.4810236711212426e-05,2.209233414949221,-0.1115685516997517,2.4000000000000004,5.6767296818271424e-08,1.708533298638848e-05,0.7647575759769704,0.00753665521418,0.924042518920058,0.6749523083869932,0.3811968485680562,Kepler-LC(3q)
KIC11709006,false_positive,0.719741,0.7191359758540784,0.0001069856272406,32.751876808627,0.0,2.88,1.4861125398410994e-05,1.084399360540278e-05,2.092416960437494,0.1668669125577851,0.6023414561685826,0.4538004818221099,0.1013498764861923,Kepler-LC(3q)
KIC5200084,false_positive,2.9039446,0.5230412467644898,9.001144174569653e-06,7.146248307337381,0.0,0.48,1.1453461017463732e-07,2.682527265429613e-06,1.0,0.0382379021228614,0.8535883663270996,0.7309127354222541,0.2976899729337338,Kepler-LC(3q)
KIC9641031,false_positive,1.089077111,0.3629607139368944,0.000912425909628,9.606436338210653,0.0,0.96,0.0094346136232679,0.0001594271730638,1.3263564607618905,0.1102047644940287,0.9855326898497574,0.1080272389937362,0.1747269823354752,Kepler-LC(3q)
KIC4565985,false_positive,17.51191534,1.0946840270401768,3.06552534690141e-06,1.2688003666653165,0.88629987474173,2.4000000000000004,1.4200856699569096e-07,3.609406201587895e-06,0.7944634833937565,0.0913505610110906,6.79728621528026,4.31810375325061,1.173590133218824,Kepler-LC(3q)
KIC3858884,false_positive,25.95193721,0.691528337660397,0.0021369460681743,6.369777755981922,0.0,1.44,0.0157327767248142,0.000497507784697,1.0,0.0867643402770653,0.8092096863328833,0.5245178862813319,0.2328114237379068,Kepler-LC(3q)
KIC10230571,false_positive,123.11494773,5.549642325963778,0.0001010025147694,0.7314860965475366,1.577608711740734,0.96,4.136560792373245e-06,0.0001853271728141,0.7565021839109425,0.007207671711177,1.2501662598628671,0.8564005056817773,1.8346951685860533,Kepler-LC(3q)
KIC5980354,false_positive,1.573020098,1.5733730134044763,1.868507070723613e-05,5.968745939822419,1.8443112612229016,2.88,5.847102579999039e-07,1.4321342621803623e-06,1.074042294052835,0.0762692629005648,2.0367753294657107,0.4367830298223369,0.076604912846146,Kepler-LC(3q)
KIC7219761,false_positive,47.76397728,4.132287572496908,4.7774405310452295e-05,2.3732240906166684,-0.3306195397864522,0.48,4.0727910519625646e-08,2.085119619299469e-06,1.0,0.00483993421298,1.0403730017350867,0.655543747713938,0.0436359855428267,Kepler-LC(3q)
KIC9405541,false_positive,5.55260695,5.549642325963778,-2.632081852116385e-05,-4.163101070880361,0.0,2.4000000000000004,5.5815156355136414e-08,8.013580089949457e-06,1.0,0.0180191792779426,-0.9741465366422276,-0.8749925923062707,-0.3045735762079581,Kepler-LC(3q)
KIC7779942,false_positive,19.7959731,0.4566663595462932,0.0005134381238851,6.199089438637333,0.0,0.96,0.0017206219848246,6.52787482084971e-05,1.0,0.0875912997833708,0.6412794158936784,0.1600674737419744,0.127137962282433,Kepler-LC(3q)
KIC11231334,false_positive,4.15743922,4.1539124768518585,0.000344084647686,6.95485594278447,0.1071674719409951,2.88,2.252113691527221e-06,1.7928763699215367e-05,1.1418136518347417,0.0288884276374895,0.3816133195941686,0.0202434737431338,0.0521041632579277,Kepler-LC(3q)
KIC4035667,false_positive,2.8736467,0.3754860873793854,-8.592180860000909e-05,-23.104805222090288,0.0,0.96,3.297817409661688e-06,1.8699837467384128e-06,1.0,0.1065285808035401,7.044147325186581,-0.1228115286784392,-0.0217663180092592,Kepler-LC(3q)
KIC9752973,false_positive,0.716709761,1.0748675832605583,1.1972388691772196e-05,3.711784452308842,0.1294160600253319,0.96,5.605008648874359e-08,2.8435157348405404e-05,3.6995768960352895,0.037213886271146,2.1605004080177435,0.2191560746216245,2.373079198134395,Kepler-LC(3q)
KIC3459199,false_positive,1.570518376,3.1418344592989667,0.0006433118712169,6.483702160647741,0.051813072404461,2.88,3.2027943988006247e-06,3.700060275757533e-05,1.0,0.0381942465634473,1.275232660030141,0.0,0.0575149150262601,Kepler-LC(3q)
KIC8916492,false_positive,4.02378908,2.0108121945140622,4.172242727196185e-06,2.0930940977823886,-0.5214403132967286,2.4000000000000004,2.5051149597351578e-08,4.1735346101301474e-07,-1.011945382041506,0.0497311485741045,2.587502166236836,0.1212139979435678,0.0997917835564777,Kepler-LC(3q)
