tic_id,Tmag,Teff,e_Teff,logg,e_logg,rad,e_rad,mass,e_mass,rho,e_rho,lum,MH,d,e_d,ebv,contratio,numcont,priority,disposition,gaiabp,gaiarp,plx,e_plx,Vmag,Jmag,Hmag,Kmag
316402246,9.6788,8014.0,142.076,4.31934,0.0748124,1.59684,0.0455879,1.94,0.299502,0.476447,0.0881274,9.475824,,265.402,2.8785,0.18953,0.0600841828,849,0.000191236031,,10.1084,9.62358,3.73966,0.040553,9.95,9.285,9.181,9.121
369864738,9.5162,6819.0,137.596,3.91688,0.0883474,2.20928,0.0914648,1.47,0.251326,0.136322,0.0316527,9.507751,,292.085,1.9425,0.119867,0.0352846645,182,0.00141796726,,10.1403,9.46831,3.3949,0.0225955,9.908,9.003,8.83,8.739
20096620,9.9596,5720.0,119.24,3.92298,0.0764538,1.82744,0.0888216,1.02,0.12974,0.167137,0.0359604,3.220797,0.46,246.81,2.208,0.0150348,0.000422813464,39,0.0008823614,,10.7885,9.91447,4.02313,0.0359727,10.421,9.328,9.058,8.975
284288080,10.8457,6466.0,129.465,4.10779,0.0874567,1.68046,0.0742915,1.32,0.209578,0.278157,0.0637432,4.44727468,,388.477,4.375,0.090481,0.0732440352,177,0.00135808019,,11.5254,10.7931,2.54563,0.0287719,11.393,10.265,10.049,9.964
59859387,10.2761,6778.0,134.572,4.26205,0.0903449,1.47467,0.0609246,1.45,0.246946,0.45215,0.105632,4.135152,,294.281,2.179,0.0449329,0.133419722,299,0.00160452724,,10.8168,10.2319,3.36942,0.0249749,10.735,9.857,9.68,9.623
364186197,8.82374,6594.0,709.208,4.23289,0.164253,1.48504,0.114601,1.375,0.406981,0.419845,0.192609,3.75635171,,139.484,0.4175,0.0901631,0.0033035602,146,0.004866322,,9.47464,8.77952,7.14041,0.0213024,9.27,8.365,8.141,8.078
138819293,8.40346,3456.0,157.0,4.80352,0.00468943,0.425432,0.0125187,0.419868,0.0201679,5.45283,0.21947,0.0232621562,,9.75321,0.00897,0.0,0.000348153,26,0.01689082,,10.9173,8.45986,102.501,0.0935902,10.67,6.9,6.319,6.073
198616607,12.4627,5979.94,,,,1.62796,,,,,,,-0.082,504.87,,,0.3390523,126,0.0003797872,,13.1961,12.3992,,,13.004,11.872,11.569,11.532
166190643,11.7528,6453.0,195.277,3.75642,0.0887797,2.50876,0.120392,1.31,0.207855,0.0829651,0.0196717,9.83238,,799.123,15.028,0.189073,0.5065449,1076,1.95436332e-05,,12.5618,11.6968,1.22294,0.0233472,12.274,11.139,10.962,10.875
229455001,9.01932,6179.0,124.697,4.3969,0.0828215,1.13948,0.0513442,1.181,0.164577,0.798223,0.1795,1.70523608,,114.39,0.415,0.00636801,0.0383923724,194,0.0110381255,,9.68386,8.97767,8.71326,0.0314714,9.543,8.482,8.196,8.034
382437043,9.3109,6434.0,136.508,3.93199,0.0875467,2.04178,0.0960201,1.3,0.205342,0.152727,0.0356937,6.43631268,,237.7,2.593,0.0599952,0.14162226,218,0.00404881453,,9.96946,9.26776,4.17881,0.0455397,9.761,8.831,8.599,8.493
399444057,11.6433,7047.0,184.449,3.84848,0.086106,2.46239,0.105965,1.56,0.258149,0.104486,0.0239394,13.4717417,,732.131,14.4435,0.349638,0.158509433,728,2.17717552e-05,,12.4915,11.5778,1.33763,0.0267314,12.043,10.974,10.785,10.722
135083444,10.0721,6071.0,120.424,4.36174,0.0783161,1.16271,0.0536282,1.134,0.147676,0.721435,0.155453,1.65454876,,183.175,1.6665,0.0118632,0.0178201571,23,0.0015164502,,10.7705,10.0248,5.43097,0.0492986,10.501,9.533,9.264,9.205
462715015,11.5578,5589.0,128.702,4.36737,0.0752506,1.07773,0.0560176,0.987,0.121091,0.788481,0.166423,1.02105367,,278.969,3.127,0.0572212,0.173073292,358,0.000751495536,,12.4541,11.4984,3.55641,0.0398739,12.245,10.802,10.468,10.376
379929661,9.6129,7668.59,138.419,4.13122,0.0810938,1.908,0.0705628,1.796,0.293388,0.258565,0.0531255,11.3426552,0.176,341.263,5.0425,0.0200959,0.0009196073,74,0.0009296396,,9.8997,9.57806,2.90206,0.0429616,9.774,9.373,9.293,9.28
154220877,14.6877,3927.0,157.0,4.60691,0.0128013,0.653297,0.0204339,0.629592,0.0208323,2.25802,0.137418,0.09144493,,390.415,5.8005,0.01819,0.000205182369,35,0.000175765686,,16.5289,14.692,2.53292,0.0377651,16.74,13.566,12.862,12.735
