tic_id,Teff,rad,mass,logg,Tmag,contratio
KIC8418129,,,,,13.215,
KIC5385667,5948.0,1.432,0.957,4.106,13.219,
KIC6209637,,,,,13.22,
KIC9210828,5033.0,0.655,0.638,4.611,13.221,
KIC5090803,6471.0,1.302,0.855,4.141,13.223,
KIC8564976,4991.0,7.506,1.761,2.933,13.226,
KIC4489844,5709.0,0.938,0.824,4.409,13.23,
KIC10341878,7286.0,2.056,1.532,3.998,13.231,
KIC12004679,5605.0,0.854,0.816,4.486,13.231,
KIC8128965,5945.0,1.333,0.953,4.168,13.232,
KIC3663141,5780.0,1.0,1.0,4.438,13.232,
KIC8109692,6790.0,2.597,1.631,3.822,13.232,
KIC7750342,5214.0,6.519,1.996,3.109,13.234,
KIC5080346,9451.0,2.679,2.441,3.97,13.234,
KIC10657664,10816.0,2.493,2.76,4.086,13.234,
KIC1433531,6248.0,1.996,1.218,3.924,13.24,
KIC8364115,5927.0,0.86,0.944,4.544,13.241,
KIC4574310,6600.0,1.124,0.796,4.238,13.242,
KIC6311637,5757.0,1.177,0.818,4.209,13.242,
KIC9827094,5790.0,1.088,0.829,4.283,13.243,
KIC5385548,6381.0,1.423,1.055,4.155,13.244,
KIC4678875,6569.0,1.235,1.06,4.281,13.244,
KIC10491031,6613.0,1.925,1.4,4.014,13.245,
KIC8589731,5758.0,2.318,1.258,3.808,13.246,
KIC8823397,8751.0,2.352,2.14,4.026,13.249,
KIC5738634,6103.0,3.358,1.522,3.568,13.25,
KIC2574543,4799.0,13.652,2.031,2.475,13.25,
KIC8504570,7162.0,1.631,1.484,4.185,13.251,
KIC5090690,6753.0,2.396,1.701,3.91,13.252,
KIC4058169,6401.0,1.41,1.084,4.175,13.252,
KIC10646620,6628.0,2.595,1.489,3.783,13.253,
KIC8590780,6231.0,1.501,0.984,4.078,13.253,
KIC5310435,6562.0,2.263,1.279,3.835,13.254,
KIC3732972,4971.0,14.678,1.854,2.373,13.254,
KIC6523216,5750.0,2.379,1.041,3.703,13.254,
KIC7811057,5229.0,1.725,1.048,3.985,13.255,
KIC5389540,4316.0,0.54,0.543,4.709,13.259,
KIC4349442,4914.0,0.724,0.783,4.61,13.26,
KIC7919867,5818.0,1.116,0.891,4.292,13.261,
KIC9265521,6085.0,1.033,1.006,4.412,13.262,
KIC5386163,6098.0,2.657,1.313,3.707,13.262,
KIC4281023,5024.0,4.331,1.193,3.241,13.264,
KIC12306808,5985.0,0.758,0.846,4.603,13.265,
KIC3851130,5609.0,1.348,0.862,4.114,13.265,
KIC4056579,4915.0,6.877,1.996,3.063,13.265,
KIC5025294,5929.0,0.888,0.867,4.479,13.266,
KIC7938468,6270.0,1.36,1.064,4.199,13.27,
KIC7622059,6428.0,1.436,1.049,4.144,13.272,
KIC6468938,6047.0,1.211,0.943,4.246,13.272,
KIC10253638,,,,,13.272,
KIC6792124,6224.0,2.368,1.337,3.815,13.274,
KIC1430305,6570.0,2.27,1.5,3.902,13.274,
KIC9474222,6295.0,1.554,1.267,4.158,13.275,
KIC5894972,6541.0,2.652,1.519,3.773,13.276,
KIC8288719,5242.0,0.622,0.616,4.64,13.276,
KIC7124026,6089.0,0.95,1.031,4.495,13.276,
KIC7199774,5868.0,0.894,0.987,4.53,13.279,
KIC5475712,6596.0,1.094,1.098,4.4,13.28,
KIC9881258,6105.0,1.025,0.99,4.412,13.281,
KIC8097825,5539.0,0.959,0.807,4.381,13.283,
KIC8255058,5057.0,6.222,1.936,3.137,13.285,
KIC9025922,5780.0,1.0,1.0,4.438,13.29,
KIC5513822,5606.0,0.962,0.829,4.39,13.292,
KIC6806632,9454.0,1.832,2.144,4.244,13.292,
KIC4772095,6832.0,2.578,1.717,3.851,13.293,
KIC6471230,5779.0,0.99,0.827,4.364,13.294,
KIC8882847,6200.0,1.449,1.043,4.135,13.294,
KIC5879448,6077.0,1.759,0.964,3.931,13.294,
KIC2166206,5949.0,1.707,1.122,4.024,13.295,
KIC11234677,6440.0,1.241,1.153,4.313,13.296,
KIC4365442,6340.0,2.498,1.223,3.731,13.297,
KIC5534965,6370.0,1.316,1.064,4.228,13.297,
KIC11654039,5997.0,0.971,1.004,4.466,13.298,
KIC4768846,6168.0,2.572,1.358,3.75,13.298,
KIC8301013,6604.0,1.526,1.283,4.178,13.3,
KIC10383687,6134.0,1.039,0.98,4.396,13.301,
KIC7768952,5461.0,3.301,1.463,3.566,13.301,
KIC6068947,5745.0,1.196,1.018,4.29,13.302,
KIC8440062,6295.0,2.049,1.237,3.907,13.302,
KIC4275328,6691.0,1.565,1.083,4.084,13.303,
KIC11872139,6619.0,3.05,1.771,3.718,13.306,
KIC5471675,6552.0,3.44,1.694,3.594,13.306,
KIC8161830,,,,,13.308,
KIC5651829,5951.0,2.08,0.967,3.787,13.308,
KIC4365461,6351.0,1.613,1.27,4.126,13.309,
KIC9953736,7141.0,1.56,1.558,4.243,13.313,
KIC3116302,6154.0,1.053,1.049,4.416,13.314,
KIC8979500,4842.0,4.164,0.93,3.167,13.316,
KIC9049010,6240.0,2.803,1.385,3.684,13.316,
KIC11189127,6116.0,1.055,0.876,4.335,13.318,
KIC4069063,6140.0,1.187,0.899,4.243,13.318,
KIC10601549,5446.0,0.668,0.646,4.599,13.318,
KIC9357578,5033.0,13.679,3.01,2.645,13.318,
KIC5306383,5765.0,0.998,0.943,4.415,13.319,
KIC2446113,6078.0,1.683,1.285,4.094,13.319,
KIC3869825,6715.0,1.241,1.256,4.347,13.32,
KIC5024252,5780.0,1.0,1.0,4.438,13.322,
KIC5297298,6129.0,1.786,1.14,3.991,13.325,
KIC3750350,6095.0,1.014,1.08,4.459,13.327,
KIC10407047,4909.0,5.272,1.386,3.136,13.327,
KIC11087662,6564.0,1.461,1.235,4.198,13.328,
KIC2720514,6220.0,1.108,1.066,4.378,13.328,
KIC3836450,5160.0,0.784,0.738,4.518,13.328,
KIC12835139,6658.0,1.992,1.244,3.934,13.329,
KIC6369845,5123.0,3.224,1.051,3.442,13.33,
KIC7732285,6429.0,1.908,1.298,3.989,13.33,
KIC7418173,5354.0,2.18,0.985,3.754,13.331,
KIC10936786,5814.0,1.549,1.019,4.066,13.333,
KIC5647638,6234.0,2.5,1.255,3.741,13.333,
KIC8128247,3812.0,69.001,1.479,0.93,13.334,
KIC5025234,6594.0,1.138,1.158,4.39,13.335,
KIC3965879,,,,,13.335,
KIC9898364,7530.0,1.93,1.633,4.08,13.337,
KIC10132552,6054.0,1.009,0.969,4.416,13.337,
KIC7598111,5780.0,1.0,1.0,4.438,13.34,
KIC11875511,4847.0,2.191,0.93,3.726,13.342,
KIC10407054,6443.0,1.457,1.083,4.146,13.343,
KIC4136659,5923.0,1.049,1.013,4.402,13.343,
KIC10785538,5991.0,0.954,0.956,4.459,13.343,
KIC10294608,5843.0,0.99,0.926,4.413,13.344,
KIC6847018,6440.0,1.169,1.196,4.38,13.344,
KIC6147573,5691.0,0.897,0.881,4.477,13.347,
KIC5036538,4239.0,0.454,0.466,4.793,13.349,
KIC9934274,6409.0,2.83,1.485,3.706,13.352,
KIC8781480,3942.0,60.688,1.696,1.101,13.353,
KIC5199978,4891.0,4.529,1.106,3.169,13.355,
KIC8453191,6263.0,2.072,1.173,3.875,13.356,
KIC8869680,6122.0,1.934,1.427,4.019,13.357,
KIC6289897,6475.0,1.9,1.097,3.921,13.357,
KIC3858926,7351.0,1.679,1.517,4.17,13.357,
KIC5364090,4206.0,0.535,0.525,4.703,13.357,
KIC10023069,6619.0,3.41,1.67,3.595,13.357,
KIC9662475,5780.0,1.0,1.0,4.438,13.359,
KIC8164262,7700.0,2.111,1.692,4.018,13.36,
KIC3337351,5730.0,1.035,1.018,4.417,13.361,
KIC9162741,6561.0,1.584,1.272,4.14,13.361,
KIC10155321,7454.0,1.853,1.602,4.107,13.362,
KIC12304202,,,,,13.362,
KIC10801249,6323.0,1.263,1.15,4.296,13.363,
KIC11359305,6351.0,2.385,1.352,3.814,13.363,
KIC5649833,6543.0,1.159,1.181,4.382,13.364,
KIC11200767,6184.0,1.406,0.991,4.138,13.368,
KIC12645761,5030.0,5.208,1.498,3.18,13.368,
KIC5471792,5611.0,1.632,0.832,3.933,13.369,
KIC10407020,6985.0,2.187,1.502,3.936,13.369,
KIC2860594,7079.0,2.634,1.695,3.827,13.37,
KIC5963222,6631.0,1.638,1.366,4.145,13.371,
KIC8757910,6426.0,2.089,1.466,3.965,13.371,
KIC2015013,5873.0,1.78,1.055,3.96,13.373,
KIC8379547,5030.0,0.587,0.587,4.67,13.373,
KIC8621026,6610.0,1.33,1.236,4.281,13.374,
KIC7987086,6002.0,1.084,0.969,4.354,13.375,
KIC11090561,5254.0,15.369,2.687,2.494,13.375,
KIC8308070,6170.0,0.939,0.976,4.482,13.376,
KIC11044770,8014.0,2.43,1.874,3.94,13.376,
KIC7199935,6130.0,1.393,1.003,4.151,13.379,
KIC3556220,5959.0,1.334,0.858,4.121,13.379,
KIC5952366,5780.0,1.0,1.0,4.438,13.38,
KIC10735331,6960.0,1.83,1.435,4.069,13.381,
KIC10519701,6122.0,2.348,1.299,3.811,13.381,
KIC5392871,6133.0,1.121,1.071,4.37,13.383,
KIC7777818,6443.0,1.884,1.371,4.023,13.384,
KIC2010152,6050.0,1.333,0.779,4.08,13.385,
KIC6780367,5109.0,2.02,0.85,3.757,13.385,
KIC6442246,6195.0,1.405,0.92,4.106,13.386,
KIC11250867,6116.0,0.951,0.888,4.431,13.387,
KIC9790965,6531.0,1.921,1.234,3.962,13.388,
KIC6525280,5774.0,0.825,0.831,4.524,13.388,
KIC5542983,6063.0,1.855,1.058,3.926,13.388,
KIC11392017,5148.0,2.314,0.822,3.624,13.39,
KIC10847907,6328.0,1.864,1.374,4.035,13.39,
KIC8524110,6056.0,1.196,0.975,4.271,13.391,
KIC3339538,5146.0,1.626,0.934,3.986,13.391,
KIC5112567,6770.0,1.623,1.365,4.15,13.391,
KIC5026187,6564.0,3.837,1.757,3.515,13.391,
KIC11495766,5910.0,0.94,1.032,4.505,13.391,
KIC9774400,5955.0,0.894,0.814,4.446,13.392,
KIC6185717,6148.0,2.133,1.03,3.793,13.393,
KIC5115379,6190.0,1.259,1.052,4.261,13.394,
KIC2860793,6712.0,1.846,1.411,4.053,13.395,
KIC10464666,5102.0,1.669,0.932,3.962,13.395,
KIC9418994,5260.0,4.062,1.73,3.459,13.396,
KIC8581658,6225.0,1.291,0.943,4.191,13.396,
KIC10125352,6378.0,2.002,1.104,3.878,13.396,
KIC11193447,6286.0,1.188,1.051,4.312,13.397,
KIC11463950,7064.0,2.531,1.806,3.888,13.397,
KIC5471574,6550.0,1.59,1.144,4.094,13.398,
KIC7970760,6387.0,1.076,1.051,4.398,13.398,
KIC3337432,6208.0,2.088,1.256,3.898,13.4,
KIC9851983,6184.0,2.646,1.179,3.665,13.401,
KIC9535881,7381.0,1.597,1.429,4.186,13.402,
KIC8009496,6079.0,2.163,1.164,3.834,13.404,
KIC10232693,5975.0,2.399,1.194,3.755,13.405,
KIC4847843,5367.0,3.558,0.758,3.216,13.405,
KIC9282769,6388.0,1.223,1.045,4.284,13.406,
KIC3230578,6581.0,1.536,1.185,4.138,13.406,
KIC6934587,6192.0,1.162,1.04,4.326,13.406,
KIC7198881,6299.0,1.167,1.249,4.401,13.408,
KIC8499922,4835.0,7.917,0.927,2.608,13.409,
KIC8646141,6608.0,2.189,1.412,3.907,13.409,
KIC6137779,6737.0,1.41,1.232,4.228,13.41,
KIC5725851,6715.0,5.97,2.114,3.211,13.411,
KIC4587448,,,,,13.411,
KIC12470041,7517.0,3.226,1.98,3.717,13.415,
KIC8677186,5228.0,0.854,0.787,4.471,13.416,
KIC8265990,6002.0,1.629,1.041,4.032,13.417,
KIC3832716,6158.0,1.368,0.969,4.152,13.418,
KIC11045383,5193.0,0.805,0.753,4.503,13.418,
KIC3838004,5313.0,2.095,1.095,3.835,13.419,
KIC7368103,8051.0,2.347,1.856,3.966,13.419,
KIC10266860,6511.0,1.851,1.261,4.003,13.422,
KIC1571511,6061.0,1.05,1.012,4.401,13.424,
KIC7257373,5841.0,0.977,0.992,4.454,13.424,
KIC8501062,,,,,13.424,
KIC5991936,8828.0,1.828,2.053,4.227,13.424,
KIC5397905,5339.0,0.793,0.731,4.503,13.426,
KIC8263752,6553.0,1.157,1.136,4.366,13.427,
KIC5966660,6736.0,1.243,1.224,4.335,13.429,
KIC7107561,6143.0,1.877,1.312,4.009,13.429,
KIC10937609,6244.0,0.971,1.021,4.473,13.43,
KIC4042088,,,,,13.43,
KIC8940700,6200.0,1.287,0.99,4.214,13.431,
KIC7203179,6508.0,1.312,1.217,4.287,13.432,
KIC5288744,6045.0,1.719,0.975,3.956,13.435,
KIC10491544,5073.0,4.61,0.812,3.02,13.436,
KIC6584167,6175.0,1.405,0.904,4.099,13.436,
KIC8701327,6292.0,1.235,1.002,4.256,13.438,
KIC7256460,,,,,13.439,
KIC2853780,5295.0,3.152,1.501,3.617,13.439,
KIC7601633,5996.0,2.221,1.43,3.901,13.439,
KIC5121173,6313.0,2.641,1.291,3.706,13.439,
KIC9030447,6899.0,1.386,1.321,4.273,13.44,
KIC8195877,6038.0,1.213,0.864,4.206,13.441,
KIC5105886,5075.0,6.918,1.875,3.031,13.443,
KIC7090867,4852.0,7.797,1.742,2.896,13.444,
KIC3352751,8529.0,1.558,1.572,4.249,13.444,
KIC5216727,6343.0,1.417,1.157,4.199,13.448,
KIC9098810,5306.0,0.888,0.802,4.445,13.448,
KIC11569475,6740.0,12.08,3.479,2.816,13.449,
KIC7282042,6473.0,1.182,1.087,4.33,13.449,
KIC11455491,6495.0,1.554,1.182,4.128,13.45,
KIC6543645,6088.0,1.463,1.103,4.15,13.45,
KIC7137798,6951.0,1.662,1.328,4.119,13.451,
KIC12069319,5386.0,11.839,3.083,2.78,13.451,
KIC7138841,6821.0,1.548,1.321,4.176,13.454,
KIC9838537,5852.0,0.837,0.928,4.559,13.454,
KIC10356124,5165.0,3.598,1.462,3.491,13.455,
KIC7017437,4893.0,10.363,1.725,2.644,13.457,
KIC8671707,5938.0,1.504,1.086,4.12,13.458,
KIC2852941,,,,,13.458,
KIC6060580,5508.0,0.764,0.855,4.598,13.46,
KIC9529856,6422.0,2.415,1.284,3.78,13.46,
KIC10905641,6126.0,2.717,1.449,3.731,13.462,
KIC5623839,6188.0,1.049,1.052,4.42,13.462,
KIC3348090,6501.0,3.247,1.579,3.613,13.464,
KIC3852865,5755.0,0.936,0.961,4.478,13.465,
KIC10549924,5640.0,0.909,0.924,4.486,13.467,
KIC3953212,6067.0,1.116,0.922,4.307,13.469,
KIC11873166,6108.0,0.997,1.072,4.471,13.47,
KIC9142742,6148.0,1.615,1.334,4.147,13.473,
KIC5964985,7117.0,1.469,1.18,4.176,13.473,
KIC8299955,6180.0,1.223,0.997,4.262,13.475,
KIC5193813,,,,,13.476,
KIC3851134,6469.0,1.193,1.26,4.385,13.476,
KIC5783732,6146.0,1.141,0.954,4.303,13.477,
KIC10031885,6024.0,0.9,0.985,4.523,13.478,
KIC7950775,6480.0,1.132,1.045,4.351,13.478,
KIC8700506,6860.0,1.292,1.3,4.326,13.478,
KIC4571004,5780.0,1.0,1.0,4.438,13.482,
KIC8804455,5716.0,1.091,0.955,4.343,13.482,
KIC5308419,6140.0,1.053,1.001,4.394,13.482,
KIC8845026,5843.0,1.073,1.061,4.403,13.483,
KIC6046311,6312.0,1.122,0.998,4.338,13.483,
KIC3730335,6049.0,1.827,1.209,3.997,13.484,
KIC8330575,6367.0,1.468,1.066,4.133,13.484,
KIC4078693,5496.0,1.669,1.063,4.02,13.485,
KIC11235323,5260.0,0.717,0.68,4.56,13.486,
KIC8323753,6093.0,2.623,1.372,3.737,13.488,
KIC8240109,7970.0,2.652,1.906,3.871,13.489,
KIC5991765,6200.0,1.834,1.162,3.977,13.49,
KIC6032920,5862.0,0.785,0.865,4.584,13.492,
KIC6451125,6793.0,1.96,1.181,3.926,13.492,
KIC5397166,5904.0,3.348,1.635,3.602,13.493,
KIC11913073,5514.0,0.826,0.926,4.569,13.496,
KIC11466960,6737.0,1.425,1.303,4.243,13.496,
KIC11918482,3246.0,0.2,0.178,5.087,13.497,
KIC3337438,5321.0,6.669,2.334,3.158,13.498,
KIC10593759,6248.0,1.181,1.078,4.328,13.499,
KIC7020168,5548.0,1.616,0.889,3.97,13.499,
KIC8397675,5679.0,3.142,1.325,3.565,13.501,
KIC4839180,6228.0,1.226,1.034,4.277,13.501,
KIC12691412,6596.0,1.721,1.474,4.135,13.502,
KIC2582800,7937.0,2.711,2.043,3.882,13.503,
KIC11558217,6740.0,1.471,1.155,4.165,13.503,
KIC10877024,6315.0,1.282,1.083,4.258,13.504,
KIC9899410,5154.0,16.486,2.7,2.435,13.504,
KIC4545926,6356.0,1.225,1.068,4.292,13.505,
KIC4483235,8784.0,1.967,2.017,4.156,13.505,
KIC10342097,5016.0,5.344,1.072,3.013,13.505,
KIC11775530,6290.0,1.385,0.99,4.151,13.505,
KIC8517433,5812.0,1.055,1.065,4.419,13.506,
KIC6343576,5178.0,4.856,1.66,3.286,13.507,
KIC5530881,6507.0,1.145,1.049,4.343,13.508,
KIC8868686,6137.0,1.076,0.96,4.357,13.51,
KIC5652237,6093.0,1.985,1.168,3.91,13.51,
KIC11922678,6453.0,1.17,1.053,4.326,13.51,
KIC11616200,6071.0,0.865,0.947,4.541,13.51,
KIC9116075,4519.0,0.597,0.641,4.688,13.511,
KIC2445975,5780.0,1.0,1.0,4.438,13.513,
KIC9079915,6636.0,1.236,1.251,4.349,13.513,
KIC8492101,5051.0,1.655,0.949,3.978,13.514,
KIC7701809,5132.0,4.732,1.71,3.321,13.514,
KIC2711131,4973.0,0.754,0.848,4.603,13.514,
KIC10971944,6643.0,1.976,1.259,3.946,13.515,
KIC8377197,6717.0,1.365,1.266,4.268,13.516,
KIC2708203,6569.0,0.927,0.805,4.41,13.517,
KIC5477805,6116.0,1.383,1.005,4.158,13.518,
KIC7281668,5629.0,0.87,0.987,4.553,13.519,
KIC5716508,3486.0,180.013,3.735,0.5,13.524,
KIC5095269,6492.0,1.17,1.041,4.32,13.528,
KIC3428359,,,,,13.528,
KIC9665922,5782.0,0.767,0.869,4.594,13.529,
KIC11357192,5018.0,2.99,1.421,3.639,13.529,
KIC6699562,6357.0,1.072,1.061,4.405,13.529,
KIC6197038,5147.0,3.145,0.957,3.424,13.531,
KIC12356746,6134.0,0.901,0.932,4.498,13.532,
KIC6363560,6210.0,1.014,1.067,4.456,13.532,
KIC12071006,7598.0,2.692,1.945,3.867,13.533,
KIC11044826,6412.0,1.04,1.084,4.44,13.533,
KIC8435232,4040.0,0.527,0.525,4.714,13.534,
KIC6543674,6047.0,2.264,1.15,3.789,13.535,
KIC5961350,7049.0,1.549,1.432,4.212,13.537,
KIC10749128,6273.0,1.139,1.092,4.364,13.538,
KIC4568117,6577.0,1.145,1.154,4.381,13.54,
KIC10858737,6963.0,1.375,1.233,4.25,13.541,
KIC5791705,6228.0,1.427,1.156,4.193,13.541,
KIC10139390,5375.0,0.752,0.7,4.531,13.542,
KIC8429014,6881.0,1.351,1.34,4.301,13.542,
KIC9543302,6084.0,1.677,1.046,4.009,13.543,
KIC2853889,6437.0,1.31,1.175,4.273,13.544,
KIC6967278,3599.0,98.38,1.688,0.679,13.544,
KIC2306740,5912.0,1.217,0.907,4.225,13.545,
KIC8977176,6344.0,1.39,0.869,4.091,13.545,
KIC5473556,6217.0,1.464,0.882,4.052,13.545,
KIC7470491,3705.0,89.806,1.847,0.798,13.547,
KIC3955867,4774.0,6.447,0.871,2.759,13.547,
KIC11358392,6437.0,1.369,1.18,4.237,13.548,
KIC7699298,5412.0,1.629,0.845,3.941,13.548,
KIC6367439,5017.0,0.605,0.601,4.653,13.548,
KIC9850387,7053.0,2.121,1.489,3.958,13.549,
KIC2445134,6247.0,1.314,1.057,4.225,13.551,
KIC9632895,5620.0,0.772,0.863,4.592,13.552,
KIC10031409,6140.0,1.254,1.014,4.247,13.553,
KIC6066403,5758.0,0.902,0.887,4.475,13.555,
KIC10259301,6105.0,0.993,0.997,4.443,13.556,
KIC7190639,6669.0,1.427,1.251,4.224,13.557,
KIC2973509,6316.0,1.333,1.102,4.231,13.558,
KIC2570505,4986.0,0.733,0.709,4.558,13.558,
KIC7967517,6339.0,1.102,1.075,4.387,13.559,
KIC3867593,7276.0,1.321,1.342,4.318,13.559,
KIC5649325,5970.0,2.229,1.239,3.835,13.56,
KIC11804952,5008.0,12.39,2.844,2.706,13.56,
KIC8560475,4989.0,18.266,3.366,2.442,13.56,
KIC3231137,6407.0,0.955,1.006,4.48,13.561,
KIC3836509,4964.0,15.155,3.055,2.562,13.561,
KIC8953475,6276.0,1.353,0.988,4.17,13.562,
KIC4736439,5269.0,3.706,0.78,3.193,13.562,
KIC10753734,5622.0,0.778,0.862,4.588,13.564,
KIC9087071,6302.0,1.135,1.034,4.345,13.564,
KIC6041511,6527.0,1.631,1.409,4.162,13.566,
KIC9468382,5125.0,2.196,0.831,3.674,13.566,
KIC11912987,5957.0,0.971,1.083,4.498,13.567,
KIC10018364,,,,,13.568,
KIC7199883,6063.0,1.004,1.035,4.451,13.568,
KIC12053823,6581.0,2.42,1.428,3.824,13.57,
KIC6707942,4842.0,0.73,0.729,4.573,13.57,
KIC9455526,5242.0,2.917,1.253,3.606,13.571,
KIC7694615,5400.0,0.898,0.816,4.443,13.572,
KIC5031882,6028.0,2.412,1.122,3.724,13.572,
KIC6065351,6526.0,2.238,1.398,3.883,13.572,
KIC5513866,5780.0,1.0,1.0,4.438,13.573,
KIC12365000,5273.0,3.15,1.511,3.621,13.573,
KIC9110357,8040.0,3.325,2.053,3.707,13.574,
KIC11724091,7279.0,2.624,1.8,3.856,13.575,
KIC3121340,5160.0,2.897,0.812,3.424,13.578,
KIC6185711,5758.0,0.762,0.848,4.596,13.579,
KIC11911561,6022.0,1.514,0.888,4.027,13.579,
KIC6199056,5944.0,5.847,2.214,3.25,13.579,
KIC5385410,6290.0,1.506,1.123,4.133,13.582,
KIC7622072,5953.0,1.254,0.831,4.161,13.583,
KIC5288543,6526.0,1.482,1.223,4.182,13.585,
KIC9086001,6348.0,1.18,1.064,4.323,13.585,
KIC5385491,5478.0,1.017,0.845,4.351,13.585,
KIC8552498,6449.0,1.193,1.069,4.316,13.586,
KIC2833632,5962.0,0.989,0.994,4.445,13.586,
KIC9941550,5068.0,7.417,1.347,2.827,13.587,
KIC11135119,5216.0,3.207,1.27,3.53,13.588,
KIC6608090,5324.0,0.755,0.739,4.551,13.589,
KIC3644505,5963.0,1.176,1.056,4.321,13.59,
KIC8652999,5940.0,1.191,1.03,4.3,13.59,
KIC5467124,5557.0,2.372,1.271,3.792,13.591,
KIC6531801,7229.0,1.38,1.32,4.278,13.591,
KIC8409588,6215.0,0.872,0.968,4.543,13.591,
KIC4773155,5642.0,0.903,0.936,4.498,13.592,
KIC10140843,6054.0,0.889,0.966,4.525,13.592,
KIC4449034,6481.0,2.343,1.456,3.861,13.592,
KIC7818447,2661.0,0.116,0.094,5.283,13.593,
KIC9097892,6397.0,1.157,1.042,4.331,13.593,
KIC10659313,6385.0,1.189,1.062,4.316,13.593,
KIC10383729,6046.0,1.007,1.111,4.478,13.594,
KIC9509223,6332.0,1.065,1.048,4.406,13.594,
KIC9489348,5966.0,1.551,1.028,4.069,13.596,
KIC5288577,6701.0,2.237,1.392,3.882,13.597,
KIC3102309,5596.0,1.015,0.829,4.343,13.598,
KIC5471271,6231.0,1.084,1.14,4.424,13.598,
KIC3542588,6341.0,1.111,1.154,4.409,13.599,
KIC7906739,5912.0,0.87,0.875,4.501,13.601,
KIC7375795,5687.0,0.943,0.83,4.408,13.601,
KIC7841986,5971.0,2.003,1.202,3.914,13.602,
KIC7897936,10134.0,4.842,3.246,3.579,13.603,
KIC4950341,6032.0,0.929,1.014,4.508,13.604,
KIC4476423,4553.0,10.472,1.616,2.605,13.605,
KIC5471770,6367.0,1.357,1.019,4.181,13.605,
KIC5120225,5838.0,0.991,0.848,4.374,13.606,
KIC11867608,6240.0,1.549,1.111,4.103,13.607,
KIC10733174,5869.0,0.892,0.98,4.528,13.608,
KIC9904059,5047.0,7.119,2.15,3.066,13.608,
KIC6891366,6221.0,1.18,1.09,4.333,13.608,
KIC7376982,6025.0,1.193,1.036,4.3,13.608,
KIC1724513,6401.0,1.744,1.185,4.029,13.609,
KIC5546277,5849.0,0.919,1.014,4.517,13.61,
KIC9455322,7037.0,1.683,1.417,4.136,13.61,
KIC5621294,8615.0,3.003,2.002,3.784,13.613,
KIC5700330,5653.0,2.057,1.24,3.905,13.613,
KIC4952341,7592.0,1.714,1.545,4.159,13.613,
KIC3441340,6122.0,0.996,1.07,4.471,13.614,
KIC8013289,5930.0,1.473,0.96,4.084,13.615,
KIC8845221,6350.0,1.984,1.195,3.921,13.615,
KIC9899483,6468.0,1.602,1.195,4.107,13.616,
KIC3336765,6143.0,1.004,0.931,4.403,13.617,
KIC8039925,6602.0,1.269,1.178,4.301,13.618,
KIC1027438,,,,,13.62,
KIC6706287,5446.0,0.961,0.825,4.388,13.62,
KIC8374394,4992.0,6.226,1.179,2.921,13.623,
KIC5021732,6410.0,1.178,1.077,4.329,13.623,
KIC8218274,6424.0,1.489,1.243,4.186,13.623,
KIC8257407,6214.0,1.583,0.959,4.021,13.624,
KIC4932691,7323.0,1.722,1.587,4.167,13.627,
KIC3865595,3915.0,58.325,1.846,1.173,13.627,
KIC9029486,5593.0,1.083,0.876,4.311,13.63,
KIC7449844,5560.0,15.113,3.468,2.619,13.63,
KIC9118340,7030.0,3.512,2.011,3.65,13.632,
KIC8908102,6033.0,2.943,1.5,3.676,13.633,
KIC3440230,8104.0,3.369,1.957,3.675,13.636,
KIC6364247,5952.0,0.971,1.057,4.489,13.636,
KIC7663804,5258.0,2.004,0.864,3.771,13.636,
KIC8229048,6469.0,1.056,1.095,4.431,13.636,
KIC1297263,6233.0,1.921,1.2,3.951,13.636,
KIC7799701,6384.0,1.615,1.216,4.107,13.637,
KIC9240664,5575.0,3.515,1.48,3.516,13.638,
KIC5201593,5970.0,1.143,1.195,4.399,13.639,
KIC4570931,6309.0,1.132,1.018,4.34,13.643,
KIC8444552,5592.0,0.771,0.703,4.51,13.643,
KIC6628740,6266.0,1.613,1.108,4.067,13.644,
KIC6448768,6020.0,2.097,1.162,3.86,13.645,
KIC4281068,6428.0,1.44,1.273,4.226,13.647,
KIC7289162,6204.0,1.065,1.021,4.394,13.648,
KIC6795089,4895.0,9.529,1.563,2.674,13.648,
KIC8088354,6318.0,1.077,0.98,4.366,13.648,
KIC7751133,5892.0,1.054,0.985,4.386,13.648,
KIC10736223,8011.0,2.927,1.855,3.773,13.651,
KIC11099109,5780.0,1.0,1.0,4.438,13.652,
KIC11673674,6013.0,1.033,0.938,4.381,13.652,
KIC9974142,6049.0,2.522,1.241,3.728,13.654,
KIC9108085,5749.0,1.15,1.014,4.323,13.655,
KIC4679314,5709.0,0.798,0.863,4.57,13.656,
KIC7031732,5548.0,0.889,0.856,4.473,13.656,
KIC9630640,6793.0,1.589,1.162,4.101,13.658,
KIC8244947,,,,,13.658,
KIC5894825,6831.0,2.106,1.511,3.971,13.658,
KIC9692128,5996.0,1.081,0.936,4.342,13.66,
KIC9157908,6406.0,1.033,1.061,4.436,13.66,
KIC8784288,5977.0,2.077,1.125,3.854,13.661,
KIC8056651,6517.0,1.375,1.203,4.241,13.663,
KIC3971315,6225.0,1.009,1.07,4.461,13.664,
KIC6781535,5857.0,1.039,0.981,4.396,13.666,
KIC11200773,6018.0,0.794,0.853,4.569,13.669,
KIC6062298,5780.0,1.0,1.0,4.438,13.671,
KIC6762188,4992.0,8.052,2.096,2.947,13.672,
