tic_id,Teff,rad,mass,logg,Tmag,contratio
KIC10532751,5348.0,9.888,2.814,2.897,10.736,
KIC6956014,4094.0,24.488,0.925,1.627,10.795,
KIC8098728,6655.0,2.995,1.42,3.638,10.8,
KIC4758368,4588.0,18.328,2.09,2.232,10.805,
KIC11296798,6335.0,3.523,1.774,3.593,10.808,
KIC10987439,6496.0,1.485,1.312,4.212,10.81,
KIC10191056,6791.0,1.619,1.32,4.137,10.811,
KIC7821010,6457.0,1.365,1.233,4.259,10.816,
KIC5471606,3982.0,32.244,1.104,1.464,10.82,
KIC10514430,5729.0,1.545,0.994,4.058,10.821,
KIC3941219,6677.0,2.108,1.351,3.92,10.826,
KIC4458109,6935.0,1.918,1.197,3.95,10.83,
KIC11560447,5321.0,1.475,0.931,4.069,10.834,
KIC8167938,11360.0,4.712,3.504,3.636,10.846,
KIC9913481,7624.0,3.682,2.068,3.622,10.862,
KIC10991239,4136.0,44.448,1.777,1.392,10.863,
KIC5006817,,,,,10.866,
KIC5989391,6637.0,1.662,1.04,4.014,10.877,
KIC7918217,3626.0,97.41,1.673,0.684,10.88,
KIC3120320,5865.0,1.423,1.09,4.169,10.885,
KIC9899216,8133.0,1.935,1.91,4.146,10.886,
KIC5990753,5029.0,9.476,2.653,2.909,10.916,
KIC12833566,6456.0,3.03,1.53,3.659,10.923,
KIC3936658,,,,,10.923,
KIC3762553,8057.0,2.407,1.868,3.946,10.924,
KIC4769799,5001.0,3.028,0.985,3.469,10.946,
KIC10407210,6652.0,1.863,1.378,4.036,10.959,
KIC6889235,9523.0,1.941,2.202,4.205,10.96,
KIC3560301,6980.0,3.482,1.671,3.577,10.963,
KIC6688318,5188.0,9.343,2.707,2.929,10.963,
KIC11671429,7426.0,2.463,1.769,3.903,10.967,
KIC7431665,4797.0,10.709,1.791,2.632,10.974,
KIC11494130,6362.0,2.534,1.352,3.761,10.988,
KIC7117050,4769.0,14.706,3.02,2.583,10.996,
KIC6116605,5780.0,1.0,1.0,4.438,11.0,
KIC10620329,8491.0,2.622,1.791,3.853,11.002,
KIC10583181,6472.0,1.579,1.093,4.08,11.009,
KIC6307243,9024.0,2.005,2.092,4.154,11.02,
KIC4577484,5424.0,2.11,1.11,3.832,11.026,
KIC5090937,8092.0,3.267,2.068,3.725,11.04,
KIC7222086,6546.0,2.784,1.852,3.817,11.041,
KIC8703887,8347.0,1.715,1.826,4.231,11.054,
KIC3119256,6785.0,2.124,1.113,3.83,11.056,
KIC5725087,4448.0,31.5,1.789,1.694,11.059,
KIC4073730,6635.0,3.798,1.705,3.511,11.059,
KIC8687088,6223.0,1.763,1.159,4.01,11.075,
KIC7013635,5195.0,2.409,1.151,3.735,11.098,
KIC4851217,7823.0,2.675,2.002,3.885,11.108,
KIC5982353,6208.0,1.831,1.112,3.959,11.115,
KIC8459354,7643.0,3.618,2.082,3.639,11.142,
KIC11811454,6389.0,1.947,1.134,3.914,11.152,
KIC10385708,5845.0,1.702,1.115,4.024,11.153,
KIC3003992,5370.0,0.874,0.869,4.494,11.157,
KIC11093335,7217.0,2.343,1.562,3.893,11.159,
KIC8210370,4794.0,6.816,1.023,2.781,11.167,
KIC9402859,,,,,11.197,
KIC6390236,6224.0,1.096,1.031,4.373,11.203,
KIC7741837,6749.0,1.9,1.419,4.031,11.208,
KIC8878681,6757.0,2.615,1.734,3.842,11.211,
KIC2013883,6218.0,1.726,1.263,4.066,11.215,
KIC3240406,7624.0,2.152,1.803,4.029,11.219,
KIC6522750,5759.0,0.945,0.984,4.481,11.23,
KIC7284688,5458.0,0.972,0.828,4.381,11.234,
KIC5905728,5428.0,0.94,0.816,4.404,11.237,
KIC8712863,6894.0,4.032,1.774,3.476,11.238,
KIC6933781,5770.0,1.685,0.915,3.946,11.241,
KIC10000490,6706.0,1.924,1.436,4.026,11.244,
KIC9657636,6099.0,1.212,0.856,4.204,11.253,
KIC7422883,6826.0,1.52,1.307,4.187,11.254,
KIC4247791,5923.0,1.51,1.09,4.118,11.26,
KIC7097571,6256.0,1.514,0.911,4.037,11.267,
KIC3831523,6438.0,2.266,1.263,3.829,11.268,
KIC11462556,6923.0,1.664,1.336,4.12,11.27,
KIC1575873,6739.0,2.059,1.375,3.948,11.283,
KIC3439031,6572.0,1.08,1.088,4.408,11.287,
KIC5640511,,,,,11.29,
KIC4160669,3198.0,162.725,1.075,0.047,11.296,
KIC4912991,6316.0,1.119,1.109,4.387,11.297,
KIC11027270,7163.0,2.177,1.392,3.906,11.299,
KIC6042116,7617.0,2.439,1.558,3.856,11.3,
KIC5005618,6095.0,1.035,1.041,4.427,11.3,
KIC8098515,,,,,11.308,
KIC11970288,6956.0,2.888,1.664,3.738,11.308,
KIC4663658,10346.0,2.449,2.609,4.077,11.321,
KIC2010607,6235.0,2.471,1.407,3.801,11.347,
KIC4663185,4727.0,13.547,2.1,2.497,11.356,
KIC5024268,4899.0,18.92,3.05,2.356,11.359,
KIC7457278,6047.0,1.002,1.081,4.47,11.36,
KIC9963639,9763.0,2.045,2.303,4.179,11.364,
KIC4856592,5071.0,3.698,0.832,3.222,11.372,
KIC7255336,6218.0,1.349,1.045,4.198,11.374,
KIC6603043,9244.0,2.025,2.158,4.159,11.375,
KIC5444392,5807.0,1.909,1.13,3.93,11.378,
KIC5391911,4475.0,20.237,1.939,2.113,11.378,
KIC6891512,5853.0,1.795,1.101,3.971,11.388,
KIC5097278,7392.0,1.772,1.563,4.135,11.396,
KIC10960993,6338.0,2.046,1.434,3.973,11.397,
KIC5814635,,,,,11.399,
