toi,tid,tfopwg_disp,pl_orbper,pl_trandep,pl_trandurh,pl_tranmid,pl_rade,pl_insol,pl_eqt,st_tmag,st_teff,st_rad,st_logg,st_dist,ra,dec
827.01,270507305,APC,1.2282706,7013.5398278,2.0554176,2458597.454096,14.6178728,3428.5103713,1951.6238484,11.5746,5848.0,1.2740999,4.33233,336.988,98.893269,-79.715754
829.01,276128561,PC,3.2877916,1779.1851978,2.3400995,2459334.53125,4.2854014,350.7238882,1103.7255252,10.5623,5636.0,0.948885,4.3723,142.461,224.208391,-37.042983
830.01,281924357,PC,15.0405221,17981.6903217,2.2981691,2458584.453568,23.0692974,79.8057547,762.3041811,10.9303,5900.0,1.0431,4.36304,222.995,129.756861,-74.763114
831.01,307610438,APC,1.5617357,4445.0857356,2.1307551,2458597.273868,7.7731045,1606.0377681,1614.5767268,8.8098,5808.0,1.14478,4.33972,86.0601,229.033411,-38.87541
835.01,405700729,PC,4.7920153,2042.5421095,1.4903703,2458600.307433,4.7342032,229.2252519,992.3968206,10.849,6012.0,0.882828,4.76675,166.834,192.057325,-56.894318
841.01,238932509,PC,3.4934316,14230.0,1.453,2459353.972698,11.4663,116.196,914.0,12.5528,5153.0,0.9,4.46892,306.068,94.942993,-53.226707
842.01,141768070,PC,2.7863813,11628.7594512,1.8415464,2458569.617192,12.0024836,483.4407911,1195.9294829,12.6264,5376.0,1.00073,4.42496,368.8,91.937566,-73.391862
847.01,231289421,PC,3.2063107,6909.9609504,2.8362399,2459118.662958,20.2776,2254.62,1919.0,12.0594,5286.9,2.29,,659.753,43.875521,-53.665545
850.01,423670610,APC,10.32103,58957.4,3.283,2458384.40921,34.1767,218.123,1070.0,11.3488,5863.5,1.28,4.38,342.206,9.765924,-17.221806
851.01,40083958,APC,0.6296,790.0,0.309,2459141.24058,3.39154,193.701,1039.0,10.9994,5485.0,0.77,4.64,154.477,7.387843,-10.468279
852.01,29918916,PC,4.943336,2010.0,3.147,2459138.585219,6.40301,311.475,1170.0,10.9495,5574.0,1.73,3.95,351.426,24.740265,-7.280979
853.01,138727432,PC,6.8646554,5090.0,4.725,2459139.838276,17.29,1640.28,1772.0,10.7598,5937.0,1.38,4.19,287.558,32.914289,-37.892988
854.01,160222069,APC,5.8508237,876.8239527,3.4458826,2459089.0623,4.9253389,493.4057797,1202.0452252,10.717,5928.0,1.37754,4.19,279.96,28.078089,-43.047613
855.01,269558487,PC,1.8301156,1110.0,1.018,2459497.639662,4.46184,515.147,1327.0,10.6541,6671.0,1.22,4.41,294.418,15.543042,-2.144574
856.01,306338882,APC,5.4014,1225.99,1.442,2458387.38778,16.7216,41.9773,709.0,10.3244,5179.9,4.34,,574.712,14.094894,-14.788329
859.01,150430484,PC,5.1543265,2522.1346873,1.063382,2460935.657384,4.6014268,104.6021101,815.6519164,11.9587,4971.0,0.756197,4.59,193.087,97.144014,-61.150325
860.01,321011127,PC,6.4535152,11200.0,2.202,2459139.444944,19.7517,240.342,1096.0,11.6704,5906.0,1.58,4.07,494.093,43.546163,-41.514421
862.01,309254930,PC,3.3102159,5092.4594143,2.7252649,2459062.548458,,528.7060422,1222.9911603,8.9904,,,,,124.300024,-65.65708
863.01,238898571,PC,0.5251251,277.1920779,1.0447398,2458438.456112,1.4381391,4078.1238196,2038.1439377,9.954701,5867.0,0.850302,4.5948,111.279,93.729429,-49.756087
864.01,231728511,PC,0.520671,626.6355136,0.5708161,2458411.15307,1.0047438,241.8916543,1005.8308938,11.4966,3460.0,0.39861,4.438,38.0915,81.443395,-51.357031
865.01,44797824,APC,0.7455787,784.6891758,0.4901724,2458411.586206,3.402474,4518.5746486,2091.077432,9.7976,5181.0,1.19844,4.14486,136.022,62.454351,-26.022091
867.01,358460246,PC,15.4043768,281.5569106,4.7120319,2458326.182858,2.2872195,100.9158218,808.3688406,10.4283,5777.36,1.23499,4.30388,200.12,119.014208,-64.941154
870.01,219229644,PC,22.0379547,1208.1077142,2.5061632,2458390.800785,2.335104,4.0755023,362.3806799,10.7791,3927.0,0.611136,4.6966,53.8027,63.31929,-50.944261
872.01,220459826,PC,2.2395544,1152.7849514,1.1228525,2458411.717988,2.7483506,300.9147034,1062.2594463,11.8348,4872.54,0.75636,4.68951,179.254,74.868182,-55.92906
873.01,237920046,PC,5.9312003,1021.9253753,2.0314487,2458326.224903,1.7979811,17.0189842,518.0279088,12.1249,3797.0,0.5204,4.74005,76.9563,56.736636,-63.336878
874.01,232025086,PC,5.9049733,200.4796961,3.9528744,2458439.488994,2.2395287,614.208654,1269.6930207,8.7542,6437.0,1.4178801,4.2473,130.527,96.069345,-46.93762
875.01,14165625,PC,11.020153,1076.926754,3.638535,2458442.024946,2.343228,23.8243065,563.4752132,11.3877,4407.0,0.719466,4.56293,106.12,78.037215,-37.708481
876.01,32497972,PC,29.4829022,2066.5043819,2.3634407,2458457.39545,2.7733274,3.0151313,336.0828164,11.534,3955.0,0.603739,4.68874,78.1864,84.109334,-24.244444
